=======================================================================================
AI DATA FILE - Vikings
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
Response Enemy NO Attack planet 2                                 := Why should we waste good warriors doing your dirty work? If you want [%PlanetName] attacked, do it yourself.
Response Enemy NO Attack planet 3                                 := 
Number of Response Enemy YES Stop espionage activities            := 2
Response Enemy YES Stop espionage activities 1                    := We will cease, for now.
Response Enemy YES Stop espionage activities 2                    := Espionage is dishonourable. Those who spied upon you will have their beards shaved off in humiliation.
Response Enemy YES Stop espionage activities 3                    := 
Number of Response Enemy NO Stop espionage activities             := 2
Response Enemy NO Stop espionage activities 1                     := Never! We will know all of your secrets.
Response Enemy NO Stop espionage activities 2                     := We are warriors, not spies. Your information is incorrect.
Response Enemy NO Stop espionage activities 3                     := 
Number of Response Enemy YES Stop sabotage activities             := 2
Response Enemy YES Stop sabotage activities 1                     := Our spies are returning home even now.
Response Enemy YES Stop sabotage activities 2                     := You are right to point out our shameful behaviour. We will do as you ask.
Response Enemy YES Stop sabotage activities 3                     := 
Number of Response Enemy NO Stop sabotage activities              := 2
Response Enemy NO Stop sabotage activities 1                      := Never! Your empire will crumble from within.
Response Enemy NO Stop sabotage activities 2                      := We will do all we can to destroy you. 
Response Enemy NO Stop sabotage activities 3                      := 
Number of Response Enemy YES Stop attacks in system               := 1
Response Enemy YES Stop attacks in system 1                       := We are leaving the [%SystemName] system.
Response Enemy YES Stop attacks in system 2                       := 
Response Enemy YES Stop attacks in system 3                       := 
Number of Response Enemy NO Stop attacks in system                := 2
Response Enemy NO Stop attacks in system 1                        := The [%SystemName] system is our training ground.
Response Enemy NO Stop attacks in system 2                        := What? Are you afraid of a few little skirmishes? What kind of a warrior are you?
Response Enemy NO Stop attacks in system 3                        := 
Number of Response Enemy Demand / Request / Warn                  := 0
Number of Response Enemy Surrender                                := 2
Response Enemy Surrender 1                                        := You have finally fallen to your masters.
Response Enemy Surrender 2                                        := The Aesir will accept your people as worthy followers. You, however, must die. 
Response Enemy Surrender 3                                        := 
Number of Response Enemy Grant independence to colony             := 1
Response Enemy Grant independence to colony 1                     := The colony on [%PlanetName] is ours once more.
Response Enemy Grant independence to colony 2                     :=  
Response Enemy Grant independence to colony 3                     := 
Number of Mega Evil Declarations                                  := 3
Mega Evil Declaration 1                                           := The final battle is here! Come, my enemy, let us do battle and we will see what awaits us beyond oblivion.
Mega Evil Declaration 2                                           := The Twilight of the Gods has come, as Vola the Sibyl has prophesized. This is the day when all bonds are broken and the final battle will be fought.
Mega Evil Declaration 3                                           := The great wolf Skoll swallows the sun and the moon, and the stars are quenched with blood. The Giallar horn has been sounded. Ragnarok is here.
Mega Evil Declaration 4                                           := 
Mega Evil Declaration 5                                           := 

=======================================================================================
*END*
=======================================================================================
